city,body_type,transmission,ownerno,brand,model,modelyear,price,insurance_validity,fuel_type,seats,kms_driven,mileage
Bangalore,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,Third Party insurance,Petrol,5,20000.0,18.15
Bangalore,SUV,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,22.25,Comprehensive,Petrol,5,42050.0,18.4
Bangalore,Hatchback,Automatic,1,Maruti,Maruti Celerio,2015,4.75,2,Petrol,5,65017.0,23.1
Bangalore,Sedan,Automatic,2,BMW,BMW 3 Series,2008,6.0,Third Party insurance,Diesel,5,80000.0,13.2
Bangalore,SUV,Automatic,1,Jeep,Jeep Compass,2021,24.5,Third Party insurance,Petrol,5,30000.0,14.1
Bangalore,SUV,Automatic,1,Kia,Kia Seltos,2020,16.25,Third Party insurance,Petrol,5,20000.0,16.5
Bangalore,Sedan,Automatic,1,Skoda,Skoda Superb,2014,16.5,Third Party insurance,Diesel,5,36349.0,17.2
Bangalore,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,2.49,Third Party insurance,Petrol,5,80000.0,20.36
Bangalore,SUV,Manual,2,Renault,Renault Duster,2014,6.3,Third Party insurance,Petrol,5,83394.0,13.24
Bangalore,SUV,Automatic,2,Audi,Audi Q5,2016,25.99,Third Party insurance,Diesel,5,30000.0,14.16
Bangalore,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,2.49,Third Party insurance,Petrol,5,80000.0,20.36
Bangalore,Hatchback,Manual,1,Maruti,Maruti Alto K10,2017,3.85,Third Party,Petrol,5,52204.0,24.39
Bangalore,Hatchback,Manual,3,Hyundai,Hyundai i20,2012,3.0,Third Party insurance,Petrol,5,110000.0,17.0
Bangalore,SUV,Automatic,1,Ford,Ford Endeavour,2017,29.75,Third Party insurance,Diesel,7,89000.0,10.91
Bangalore,Hatchback,Manual,2,Maruti,Maruti Alto 800,2014,2.76,Comprehensive,Petrol,5,29813.0,22.05
Bangalore,Hatchback,Manual,1,Ford,Ford Figo,2018,5.0,Third Party insurance,Petrol,5,30000.0,18.16
Bangalore,Hatchback,Automatic,1,Maruti,Maruti Ignis,2020,7.3,Comprehensive,Petrol,5,13345.0,20.89
Bangalore,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,22.45,Comprehensive,Diesel,7,17100.0,18.1
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2014,3.99,Comprehensive,Petrol,5,75000.0,18.9
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai i10,2011,3.12,Comprehensive,Petrol,5,75523.0,20.36
Bangalore,SUV,Manual,1,Mahindra,Mahindra XUV500,2015,12.75,Comprehensive,Diesel,7,47000.0,16.0
Bangalore,SUV,Manual,1,Tata,Tata Harrier,2022,19.9,Comprehensive,Diesel,5,36500.0,16.35
Bangalore,MUV,Manual,1,Renault,Renault Triber,2020,7.19,Comprehensive,Petrol,7,28253.0,20.0
Bangalore,SUV,Manual,1,Hyundai,Hyundai Creta,2016,12.6,Third Party insurance,Diesel,5,50000.0,19.67
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai i10,2010,3.0,Third Party insurance,Petrol,5,90000.0,20.36
Bangalore,SUV,Automatic,2,BMW,BMW X5,2016,39.81,Third Party insurance,Diesel,5,70000.0,15.97
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,6.27,Comprehensive,Petrol,5,52571.0,18.6
Bangalore,Sedan,Automatic,2,BMW,BMW 3 Series,2010,13.0,Third Party insurance,Diesel,5,70000.0,16.07
Bangalore,Sedan,Manual,1,Honda,Honda City,2015,6.72,Comprehensive,Petrol,5,61993.0,17.4
Bangalore,SUV,Automatic,1,Hyundai,Hyundai Tucson,2017,18.25,Comprehensive,Diesel,5,57000.0,16.38
Bangalore,SUV,Manual,2,Toyota,Toyota Fortuner,2021,35.0,Third Party insurance,Diesel,7,80000.0,14.24
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2013,4.4,Comprehensive,Petrol,5,36359.0,18.5
Bangalore,SUV,Manual,2,Tata,Tata Harrier,2019,14.6,Third Party insurance,Diesel,5,70000.0,17.0
Bangalore,SUV,Automatic,1,MG,MG Hector,2022,20.41,Comprehensive,Petrol,5,7500.0,18.9
Bangalore,Sedan,Automatic,1,Hyundai,Hyundai Verna,2017,10.33,Comprehensive,Petrol,5,30301.0,17.0
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,2.75,Comprehensive,Petrol,5,66000.0,20.36
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,6.76,Comprehensive,Petrol,5,56010.0,18.6
Bangalore,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,42.9,Comprehensive,Diesel,5,47000.0,17.9
Bangalore,SUV,Manual,2,Nissan,Nissan Terrano,2014,6.5,Third Party insurance,Diesel,5,60000.0,19.01
Bangalore,Hatchback,Manual,1,Maruti,Maruti Swift,2014,4.44,Third Party insurance,Diesel,5,83829.0,25.2
Bangalore,Hatchback,Automatic,1,Renault,Renault KWID,2020,5.1,Third Party insurance,Petrol,5,10000.0,22.0
Bangalore,SUV,Automatic,2,Renault,Renault Duster,2016,9.25,Comprehensive,Diesel,5,35000.0,19.6
Bangalore,Sedan,Automatic,2,Honda,Honda City,2019,10.24,Comprehensive,Petrol,5,51116.0,18.0
Bangalore,Sedan,Manual,3,Skoda,Skoda Rapid,2016,5.0,Third Party insurance,Diesel,5,80000.0,21.14
Bangalore,Hatchback,Automatic,2,Volkswagen,Volkswagen Polo,2017,9.95,Third Party insurance,Petrol,5,40000.0,17.21
Bangalore,SUV,Automatic,2,Honda,Honda CR-V,2012,9.35,Comprehensive,Petrol,5,85565.0,11.1
Bangalore,SUV,Manual,1,Ford,Ford Ecosport,2018,8.34,Comprehensive,Petrol,5,36916.0,17.0
Bangalore,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2015,5.6,Third Party insurance,Diesel,5,90000.0,20.14
Bangalore,Hatchback,Manual,1,Maruti,Maruti Swift,2012,4.54,Comprehensive,Petrol,5,112795.0,22.38
Bangalore,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,36.9,Comprehensive,Petrol,5,11000.0,18.9
Bangalore,MUV,Manual,2,Toyota,Toyota Innova,2014,11.0,Third Party insurance,Petrol,7,120000.0,11.4
Bangalore,Hatchback,Manual,2,Honda,Honda Brio,2016,4.62,Comprehensive,Petrol,5,36685.0,19.4
Bangalore,SUV,Automatic,2,Hyundai,Hyundai Santa Fe,2012,9.0,Third Party insurance,Diesel,7,120000.0,11.72
Bangalore,Sedan,Automatic,1,BMW,BMW 6 Series,2022,79.0,Comprehensive,Petrol,4,4000.0,13.32
Bangalore,Hatchback,Automatic,2,Maruti,Maruti Baleno,2019,8.43,Third Party,Petrol,5,32184.0,21.4
Bangalore,Hatchback,Manual,1,Maruti,Maruti Baleno RS,2018,7.99,Comprehensive,Petrol,5,32279.0,21.1
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2015,5.76,Comprehensive,Petrol,5,59698.0,18.6
Bangalore,SUV,Manual,1,Renault,Renault Captur,2018,9.49,Comprehensive,Diesel,5,46071.0,20.37
Bangalore,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2017,7.95,Third Party insurance,Diesel,5,90000.0,24.3
Bangalore,SUV,Manual,1,Hyundai,Hyundai Venue,2019,10.85,Third Party,Petrol,5,9554.0,18.27
Bangalore,SUV,Automatic,1,Jeep,Jeep Compass,2022,25.9,Comprehensive,Petrol,5,14000.0,14.1
Bangalore,SUV,Manual,2,Renault,Renault Duster,2013,5.16,Third Party,Diesel,5,74499.0,20.45
Bangalore,SUV,Automatic,2,Ford,Ford Ecosport,2017,7.77,Comprehensive,Petrol,5,56211.0,14.8
Bangalore,Hatchback,Manual,1,Honda,Honda Jazz,2019,7.53,Comprehensive,Petrol,5,9001.0,18.2
Bangalore,SUV,Automatic,2,Mahindra,Mahindra XUV500,2017,12.26,Third Party insurance,Diesel,7,65457.0,16.0
Bangalore,Hatchback,Manual,1,Honda,Honda Jazz,2017,7.25,Comprehensive,Petrol,5,23682.0,18.7
Bangalore,Sedan,Manual,1,Hyundai,Hyundai Verna,2020,11.5,Third Party insurance,Diesel,5,50000.0,22.0
Bangalore,Hatchback,Manual,2,Maruti,Maruti Swift,2015,6.29,Comprehensive,Diesel,5,134557.0,25.2
Bangalore,Sedan,Manual,2,Maruti,Maruti Swift Dzire,2013,4.47,Comprehensive,Petrol,5,96567.0,22.41
Bangalore,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,4.0,Third Party insurance,Petrol,5,120000.0,23.1
Bangalore,MUV,Manual,2,Maruti,Maruti Ertiga,2014,7.86,Comprehensive,Diesel,7,83007.0,20.77
Bangalore,Hatchback,Manual,1,Honda,Honda Jazz,2018,7.45,Comprehensive,Petrol,5,34000.0,18.7
Bangalore,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2014,4.9,Comprehensive,Petrol,5,81634.0,18.9
Bangalore,Sedan,Automatic,2,Honda,Honda City,2017,9.42,Comprehensive,Petrol,5,57284.0,18.0
Bangalore,SUV,Automatic,2,Ford,Ford Ecosport,2016,6.75,Third Party insurance,Petrol,5,70000.0,15.63
Bangalore,Hatchback,Manual,2,Honda,Honda Brio,2013,3.3,Third Party insurance,Petrol,5,70000.0,19.4
Bangalore,Sedan,Automatic,2,Toyota,Toyota Yaris,2018,8.75,Third Party insurance,Petrol,5,46429.0,17.8
Bangalore,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,8.69,Comprehensive,Petrol,5,17624.0,21.4
Bangalore,Sedan,Manual,2,Volkswagen,Volkswagen Vento,2012,4.25,Third Party insurance,Diesel,5,100000.0,20.54
Bangalore,Sedan,Manual,1,Honda,Honda City,2019,10.7,Third Party insurance,Petrol,5,30000.0,17.4
Bangalore,SUV,Manual,2,Ford,Ford Ecosport,2018,10.25,Third Party insurance,Petrol,5,49690.0,15.9
Bangalore,SUV,Manual,1,Mahindra,Mahindra XUV500,2016,10.0,Third Party insurance,Diesel,7,110000.0,16.0
Bangalore,Sedan,Manual,1,Fiat,Fiat Linea,2009,3.75,Third Party insurance,Petrol,5,50000.0,16.0
Bangalore,Sedan,Manual,1,Fiat,Fiat Linea,2009,3.75,Third Party insurance,Petrol,5,50000.0,16.0
Bangalore,SUV,Automatic,1,Ford,Ford Ecosport,2018,8.44,Comprehensive,Petrol,5,55702.0,14.8
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,2016,7.64,Third Party insurance,Diesel,5,45046.0,21.19
Bangalore,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,Petrol,5,53000.0,18.5
Bangalore,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,6.84,Third Party insurance,Diesel,5,94695.0,27.39
Bangalore,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,8.03,Zero Dep,Petrol,5,22162.0,21.4
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2010,3.2,Third Party insurance,Petrol,5,70000.0,17.92
Bangalore,Sedan,Manual,1,Honda,Honda City,2017,8.04,Comprehensive,Diesel,5,115331.0,26.0
Bangalore,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,14.0,Third Party insurance,Diesel,5,70000.0,10.0
Bangalore,Hatchback,Manual,2,Maruti,Maruti Swift,2016,5.48,Comprehensive,Petrol,5,42233.0,22.38
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,6.19,Comprehensive,Petrol,5,20941.0,18.9
Bangalore,SUV,Manual,2,Maruti,Maruti Vitara Brezza,2018,10.0,Third Party insurance,Diesel,5,50000.0,24.3
Bangalore,SUV,Manual,1,Honda,Honda WR-V,2018,8.65,Comprehensive,Petrol,5,46602.0,17.5
Bangalore,SUV,Automatic,2,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,10.0,Third Party insurance,Diesel,7,50000.0,11.18
Bangalore,Hatchback,Manual,2,Maruti,Maruti Swift,2014,5.35,Comprehensive,Diesel,5,104000.0,25.2
Bangalore,SUV,Manual,1,Ford,Ford Ecosport,2018,9.75,Comprehensive,Diesel,5,90000.0,23.0
Bangalore,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,6.99,Third Party insurance,Petrol,5,50035.0,21.4
